id,class,skillType,skillId,reqLevel,classAttr,skillLevel,skillAttr,remark
1,ROYAL,GENERAL,1,10,NONE,1,WATER,初级治愈术
2,ROYAL,GENERAL,2,10,NONE,1,RAY,日光术
3,ROYAL,GENERAL,3,10,NONE,1,NONE,保护罩
4,ROYAL,GENERAL,4,10,NONE,1,RAY,光箭
5,ROYAL,GENERAL,5,10,NONE,1,NONE,指定传送术
6,ROYAL,GENERAL,6,10,NONE,1,WATER,冰箭
7,ROYAL,GENERAL,7,10,NONE,1,WIND,风刃
8,ROYAL,GENERAL,8,10,NONE,1,NONE,神圣武器
9,ROYAL,GENERAL,9,20,NONE,2,NONE,解毒术
10,ROYAL,GENERAL,10,20,NONE,2,WATER,寒冷战憟
11,ROYAL,GENERAL,11,20,NONE,2,WATER,毒咒
12,ROYAL,GENERAL,12,20,NONE,2,FIRE,附魔武器
13,ROYAL,GENERAL,13,20,NONE,2,NONE,破匿之眼
14,ROYAL,GENERAL,14,20,NONE,2,NONE,负重强化
15,ROYAL,GENERAL,15,20,NONE,2,FIRE,火箭
16,ROYAL,GENERAL,16,20,NONE,2,EARTH,地狱之牙
17,ROYAL,CLASS,113,15,NONE,1,NONE,精准目标
18,ROYAL,CLASS,82,15,NONE,1,NONE,英勇打擊
19,ROYAL,CLASS,119,30,NONE,2,NONE,横扫千军
20,ROYAL,CLASS,116,30,NONE,2,NONE,呼唤盟友
21,ROYAL,CLASS,117,30,NONE,2,NONE,冲击士气
22,ROYAL,CLASS,114,40,NONE,2,NONE,激励士气
23,ROYAL,CLASS,118,45,NONE,3,NONE,援护盟友
24,ROYAL,CLASS,121,50,NONE,3,NONE,钢铁士气
25,KNIGHT,GENERAL,1,50,NONE,1,WATER,初级治愈术
26,KNIGHT,GENERAL,2,50,NONE,1,RAY,日光术
27,KNIGHT,GENERAL,3,50,NONE,1,NONE,保护罩
28,KNIGHT,GENERAL,4,50,NONE,1,RAY,光箭
29,KNIGHT,GENERAL,5,50,NONE,1,NONE,指定传送术
30,KNIGHT,GENERAL,6,50,NONE,1,WATER,冰箭
31,KNIGHT,GENERAL,7,50,NONE,1,WIND,风刃
32,KNIGHT,GENERAL,8,50,NONE,1,NONE,神圣武器
33,KNIGHT,CLASS,90,50,NONE,3,NONE,坚固防护
34,KNIGHT,CLASS,91,50,NONE,3,NONE,反击屏障
35,KNIGHT,CLASS,88,50,NONE,3,NONE,增幅防御
36,KNIGHT,CLASS,87,50,NONE,3,NONE,冲击之晕
37,KNIGHT,CLASS,81,15,NONE,1,NONE,重擊
38,KNIGHT,CLASS,85,30,NONE,2,NONE,旋風斬
39,ELF,GENERAL,1,8,NONE,1,WATER,初级治愈术
40,ELF,GENERAL,2,8,NONE,1,RAY,日光术
41,ELF,GENERAL,3,8,NONE,1,NONE,保护罩
42,ELF,GENERAL,4,8,NONE,1,RAY,光箭
43,ELF,GENERAL,5,8,NONE,1,NONE,指定传送术
44,ELF,GENERAL,6,8,NONE,1,WATER,冰箭
45,ELF,GENERAL,7,8,NONE,1,WIND,风刃
46,ELF,GENERAL,8,8,NONE,1,NONE,神圣武器
47,ELF,GENERAL,9,16,NONE,2,NONE,解毒术
48,ELF,GENERAL,10,16,NONE,2,WATER,寒冷战憟
49,ELF,GENERAL,11,16,NONE,2,WATER,毒咒
50,ELF,GENERAL,12,16,NONE,2,FIRE,附魔武器
51,ELF,GENERAL,13,16,NONE,2,NONE,破匿之眼
52,ELF,GENERAL,14,16,NONE,2,NONE,负重强化
53,ELF,GENERAL,15,16,NONE,2,FIRE,火箭
54,ELF,GENERAL,16,16,NONE,2,EARTH,地狱之牙
55,ELF,GENERAL,17,24,NONE,3,WIND,极光雷电
56,ELF,GENERAL,18,24,NONE,3,RAY,亡灵超度术
57,ELF,GENERAL,19,24,NONE,3,WATER,中级治愈术
58,ELF,GENERAL,20,24,NONE,3,NONE,闇盲咒术
59,ELF,GENERAL,21,24,NONE,3,NONE,铠甲护特
60,ELF,GENERAL,22,24,NONE,3,WATER,寒冰气息
61,ELF,GENERAL,23,24,NONE,3,NONE,弱性感测
62,ELF,GENERAL,25,32,NONE,4,FIRE,燃烧的火球
63,ELF,GENERAL,26,32,NONE,4,WIND,通畅气脉术
64,ELF,GENERAL,27,32,NONE,4,FIRE,坏物术
65,ELF,GENERAL,28,32,NONE,4,WATER,體力奪取
66,ELF,GENERAL,29,32,NONE,4,WIND,缓速术
67,ELF,GENERAL,30,32,NONE,4,EARTH,岩牢
68,ELF,GENERAL,31,32,NONE,4,NONE,魔法屏障
69,ELF,GENERAL,32,32,NONE,4,NONE,冥想术
70,ELF,GENERAL,33,40,NONE,5,EARTH,木乃伊的诅咒
71,ELF,GENERAL,34,40,NONE,5,WIND,极道落雷
72,ELF,GENERAL,35,40,NONE,5,WATER,高级治愈术
73,ELF,GENERAL,36,40,NONE,5,NONE,迷魅术
74,ELF,GENERAL,37,40,NONE,5,WIND,圣洁之光
75,ELF,GENERAL,38,40,NONE,5,WATER,冰锥
76,ELF,GENERAL,39,40,NONE,5,NONE,魔力夺取
77,ELF,GENERAL,40,40,NONE,5,NONE,黑闇之影
